unit_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p003-u120	page-003.jpg	img3-m120	15	120	a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1	11	741	1957	183	94
p003-u121	page-003.jpg	img3-m125	15	121	e:1 g:1 e:1 e:1 a:1 b:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1	14	979	1956	247	79
p003-u122	page-003.jpg	img3-m126	15	122	n:1 e:1 g:1 e:1 e:1 c:1	6	1271	1976	130	54
p003-u123	page-003.jpg	img3-m119	15	123	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 n:1 e:1 g:1 e:1 c:1 f:1 j:1	15	1413	1953	205	94
p003-u124	page-003.jpg	img3-m123	15	124	e:1 c:1 h:2 e:1 h:1 e:1 c:1 h:2 e:1 h:1 e:1 c:1 h:2	13	1680	1996	172	73
p003-u125	page-003.jpg	img3-m121	15	125	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	10	1918	1962	127	104
p003-u126	page-003.jpg	img3-m122	15	126	e:1 c:1 h:2 e:1 l:1 f:1 e:1 a:1 e:1 b:1 c:1 a:1 c:2 g:1 e:1 h:1	16	2085	1970	225	105
p003-u127	page-003.jpg	img3-m134	16	127	e:1 h:1 a:1 e:1 b:1 c:1 a:1 c:1	8	566	2039	111	105
p003-u128	page-003.jpg	img3-m132	16	128	n:1 e:1 g:1 e:1 c:1 f:1 j:1	7	720	2037	128	78
p003-u129	page-003.jpg	img3-m131	16	129	n:1 e:1 g:1 e:1 e:1	5	903	2040	86	73
p003-u130	page-003.jpg	img3-m128	16	130	a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 n:1 e:1 g:1 e:1 e:1 e:1 h:1	15	1035	2042	269	99
p003-u131	page-003.jpg	img3-m127	16	131	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 e:1 f:1 f:1 j:1 e:1 h:1	16	1356	2033	255	122
p003-u132	page-003.jpg	img3-m130	16	132	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 e:1 f:1 l:1 f:1 i:1 d:1	14	1691	2073	204	60
p003-u133	page-003.jpg	img3-m133	16	133	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	9	1956	2081	131	54
p003-u134	page-003.jpg	img3-m129	16	134	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1 e:1 c:1 h:2 e:1 i:1	14	2128	2066	235	101
p003-u135	page-003.jpg	img3-m136	17	135	e:1 c:1 h:2 e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	11	567	2143	162	57
p003-u136	page-003.jpg	img3-m138	17	136	n:1 e:1 g:1 e:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	18	764	2117	293	86
p003-u137	page-003.jpg	img3-m139	17	137	c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1 e:1 g:1 e:1 e:1 e:1 h:1	17	1105	2133	321	105
p003-u138	page-003.jpg	img3-m137	17	138	n:1 c:2 g:1 e:1 e:1 h:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 e:1 b:1 c:1 a:1 e:1 b:1 c:1 a:1 c:1 f:1 j:1	24	1486	2134	358	109
p003-u139	page-003.jpg	img3-m135	17	139	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 j:1 e:1 i:1 d:1	14	1897	2138	214	103
p003-u140	page-003.jpg	img3-m140	17	140	e:1 c:1 h:2 e:1 f:1 c:1 e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1	14	2149	2157	211	82
p003-u141	page-003.jpg	img3-m143	18	141	n:1 e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1	9	571	2208	146	69
p003-u142	page-003.jpg	img3-m145	18	142	e:1 g:1 e:1 c:1 f:1 i:1 d:1	7	742	2218	128	59
p003-u143	page-003.jpg	img3-m144	18	143	e:1 g:1 e:1 e:1 e:1 h:1	6	917	2253	116	52
p003-u144	page-003.jpg	img3-m142	18	144	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	9	1099	2235	121	56
p003-u145	page-003.jpg	img3-m141	18	145	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	10	1268	2215	153	106
p003-u146	page-003.jpg	img3-m147	18	146	c:1 a:1 e:1 b:1 c:1 a:1 c:1 f:1 j:1	9	1961	2246	137	82
p003-u147	page-003.jpg	img3-m146	18	147	e:1 c:1 h:2 e:1 f:1 f:1 k:1 f:1 i:1 d:1	10	2142	2275	182	62
p003-u148	page-003.jpg	img3-m148	19	148	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1	11	534	2350	366	185
p003-u149	page-003.jpg	img3-m151	19	149	n:1 e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	10	685	2480	174	74
p003-u150	page-003.jpg	img3-m152	19	150	n:1 c:2 g:1 e:1 c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1	16	900	2455	234	108
p003-u151	page-003.jpg	img3-m153	19	151	e:1 g:1 e:1 c:1 f:1 j:1	6	1181	2529	115	51
p003-u152	page-003.jpg	img3-m149	19	152	a:1 e:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 e:1 e:1 i:1 d:1 e:1 h:1	20	1333	2434	289	144
p003-u153	page-003.jpg	img3-m154	19	153	n:1 e:1 g:1 e:1 e:1 e:1 h:1	7	1675	2509	102	78
p003-u154	page-003.jpg	img3-m150	19	154	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 e:1 h:1 e:1 c:1 h:2 e:1 e:1 e:1 h:1	17	1788	2465	210	143
p003-u155	page-003.jpg	img3-m156	19	155	e:1 g:1 e:1 e:1 h:1 f:1 i:1 d:1 c:1	9	2030	2542	174	76
p003-u156	page-003.jpg	img3-m155	19	156	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	8	2230	2539	96	61
