atom_id	image_name	token	predicted_centroid	centroid_correct	predicted_knn	knn_correct	nearest_distance	snapshot_path
1174	page-003.jpg	k:1	k:1	yes	k:1	yes	11.7695	atoms\k_1\page-003.jpg\1174.svg
1175	page-003.jpg	f:1	h:2	no	f:1	yes	19.7328	atoms\f_1\page-003.jpg\1175.svg
1176	page-003.jpg	i:1	i:1	yes	i:1	yes	13.6374	atoms\i_1\page-003.jpg\1176.svg
1177	page-003.jpg	d:1	d:1	yes	d:1	yes	17.4206	atoms\d_1\page-003.jpg\1177.svg
3330	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3330.svg
3373	page-003.jpg	a:1	a:1	yes	a:1	yes	8.6523	atoms\a_1\page-003.jpg\3373.svg
3375	page-003.jpg	e:1	a:1	no	e:1	yes	25.5248	atoms\e_1\page-003.jpg\3375.svg
3364	page-003.jpg	b:1	g:1	no	b:1	yes	8.4276	atoms\b_1\page-003.jpg\3364.svg
3358	page-003.jpg	c:1	c:1	yes	c:1	yes	22.6822	atoms\c_1\page-003.jpg\3358.svg
3374	page-003.jpg	a:1	a:1	yes	a:1	yes	7.2922	atoms\a_1\page-003.jpg\3374.svg
3347	page-003.jpg	g:1	g:1	yes	g:1	yes	7.6700	atoms\g_1\page-003.jpg\3347.svg
3331	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3331.svg
3332	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3332.svg
3340	page-003.jpg	h:1	h:1	yes	h:1	yes	6.7916	atoms\h_1\page-003.jpg\3340.svg
3333	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3333.svg
