macro_signature	count	share	examples
e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 f:1 f:1 n:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0027	p003-u042
e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u156
e:1 h:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u066
e:1 h:1 e:1 MEDIAL_OP e:1 e:1 e:1 e:1 h:1	1	0.0027	p003-u175
e:1 MEDIAL_OP c:2 e:1 h:1	1	0.0027	p094-u033
e:1 MEDIAL_OP d:1 c:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0027	p004-u028
e:1 MEDIAL_OP d:1 c:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0027	p003-u010
e:1 MEDIAL_OP d:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1	1	0.0027	p003-u081
e:1 MEDIAL_OP d:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0027	p003-u037
e:1 MEDIAL_OP d:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p094-u037
