representation	folio	molecule_uid	source_molecule_id	sequence_length	symbol_index	observed_symbol	left_symbol	right_symbol	positional_role	local_context	context_seen_in_train	observed_in_train_vocab	probability	log_loss_bits	top1_symbol	top1_correct
ATOMS	f2r	p005-m001	img5-m1	17	2	b:1	a:1	c:1	medial	length=17|role=medial|left=a:1|right=c:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m001	img5-m1	17	3	c:1	b:1	a:1	medial	length=17|role=medial|left=b:1|right=a:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m001	img5-m1	17	4	a:1	c:1	e:1	medial	length=17|role=medial|left=c:1|right=e:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	yes
ATOMS	f2r	p005-m001	img5-m1	17	5	e:1	a:1	h:1	medial	length=17|role=medial|left=a:1|right=h:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m001	img5-m1	17	6	h:1	e:1	e:1	medial	length=17|role=medial|left=e:1|right=e:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m001	img5-m1	17	7	e:1	h:1	c:1	medial	length=17|role=medial|left=h:1|right=c:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m001	img5-m1	17	8	c:1	e:1	h:2	medial	length=17|role=medial|left=e:1|right=h:2	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m001	img5-m1	17	9	h:2	c:1	e:1	medial	length=17|role=medial|left=c:1|right=e:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m001	img5-m1	17	10	e:1	h:2	f:1	medial	length=17|role=medial|left=h:2|right=f:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m001	img5-m1	17	11	f:1	e:1	l:1	medial	length=17|role=medial|left=e:1|right=l:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m001	img5-m1	17	12	l:1	f:1	f:1	medial	length=17|role=medial|left=f:1|right=f:1	no	no	0	Infinity	a:1	no
ATOMS	f2r	p005-m001	img5-m1	17	13	f:1	l:1	i:1	medial	length=17|role=medial|left=l:1|right=i:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m001	img5-m1	17	14	i:1	f:1	d:1	medial	length=17|role=medial|left=f:1|right=d:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m001	img5-m1	17	15	d:1	i:1	e:1	medial	length=17|role=medial|left=i:1|right=e:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m001	img5-m1	17	16	e:1	d:1	h:1	medial	length=17|role=medial|left=d:1|right=h:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m002	img5-m3	8	2	h:1	e:1	a:1	medial	length=8|role=medial|left=e:1|right=a:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m002	img5-m3	8	3	a:1	h:1	m:1	medial	length=8|role=medial|left=h:1|right=m:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	yes
ATOMS	f2r	p005-m002	img5-m3	8	4	m:1	a:1	c:1	medial	length=8|role=medial|left=a:1|right=c:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
