subset	representation	folio	line	region_id	relation_type	alignment_confidence	sequence_length	predicted_opportunities	unseen_context_count	log_loss_bits	normalized_log_loss	top1_correct_count	top1_accuracy	mean_observed_probability	sequence
all	EVA	f2r	6	f2r-l6-r001	N:M	low	10	8	2	23.763409844004357	0.6992648111578925	6	0.75	0.1467603792088918	saiindaind
all	EVA	f2r	6	f2r-l6-r002	N:M	low	7	5	3	19.94345488516712	0.938973408658753	1	0.2	0.06967418546365914	dkolsor
all	EVA	f2r	6	f2r-l6-r003	N:M	low	19	17	17	72.21476772854095	1	0	0	0.052631578947368404	ytoldydcholdchycthy
all	EVA	f2r	7	f2r-l7-r001	N:M	low	14	12	6	44.4214220259518	0.8714332241108469	4	0.3333333333333333	0.0939486397152301	shorckhydaiiny
all	EVA	f2r	7	f2r-l7-r002	N:1	low	7	5	2	16.917919793059983	0.7965258229816384	3	0.6	0.10676691729323307	choldan
all	EVA	f2r	8	f2r-l8-r001	1:1	low-medium	6	4	3	15.55113746238836	0.9152190929090159	1	0.25	0.07518796992481203	kydain
all	EVA	f2r	8	f2r-l8-r002	N:M	low	14	12	8	44.0013976740032	0.863193434420868	4	0.3333333333333333	0.09512912716574042	shaiinqoysshol
all	EVA	f2r	8	f2r-l8-r003	N:M	low	23	21	19	87.91029510026448	0.985469859204465	1	0.047619047619047616	0.056689342403628086	fodanyksholsheeydaiildy
all	EVA	f2r	9	f2r-l9-r001	1:1	low-medium	6	4	2	15.08980631083558	0.8880687266367111	1	0.25	0.09256837746540264	dlssho
all	EVA	f2r	9	f2r-l9-r002	N:M	low	20	18	15	72.51449784677185	0.9483643967464439	2	0.1111111111111111	0.07065974114029033	kolsheeyqokeyykodyso
all	EVA	f2r	9	f2r-l9-r003	N:M	low	7	5	2	18.63412682705939	0.8773279095788347	2	0.4	0.08689114089571755	cholyky
all	EVA	f2r	9	f2r-l9-r004	N:M	low	11	9	6	30.997068883812876	0.8107762559432471	3	0.3333333333333333	0.12842105263157894	daindaiirol
all	EVA	f2r	10	f2r-l10-r001	N:M	low	16	14	8	50.23021636449908	0.8446171894669899	5	0.35714285714285715	0.10494061240056661	qokycholaiinshol
all	EVA	f2r	10	f2r-l10-r002	N:M	low	10	8	4	26.279422433323795	0.7733012848664513	4	0.5	0.13203007518796991	shekydaiin
all	EVA	f2r	10	f2r-l10-r003	N:M	low	14	12	8	48.51400933049966	0.9517191849626562	2	0.16666666666666666	0.06648868548182048	ctheykeolsaiin
all	EVA	f2r	10	f2r-l10-r004	1:1	low-medium	5	3	1	7.669391281881862	0.6018143559504593	2	0.6666666666666666	0.22198830409356726	saiin
all	EVA	f2r	11	f2r-l11-r001	N:M	low	9	7	6	28.294920002719117	0.9515537673765807	1	0.14285714285714285	0.06552094522019333	ychaindal
all	EVA	f2r	11	f2r-l11-r002	N:M	low	12	10	5	40.162544212947665	0.9454620891209574	2	0.2	0.06793069630598234	chydalorshan
all	EVA	f2r	11	f2r-l11-r003	1:1	medium	3	1	1	4.247927513443585	1	0	0	0.05263157894736842	dan
all	EVA	f2r	11	f2r-l11-r004	N:1	low	12	10	9	42.62366504377103	1.0033990671657702	0	0	0.05213032581453634	olsaiinsheey
all	EVA	f2r	11	f2r-l11-r005	1:1	medium	5	3	1	13.163806892279357	1.0329591587599154	0	0	0.047909629145327086	ckhor
