subset	representation	folio	line	region_id	relation_type	alignment_confidence	sequence_length	predicted_opportunities	corruptions	real_code_length_bits	median_corrupted_code_length_bits	mean_corrupted_code_length_bits	real_minus_median_corrupted_bits	real_minus_mean_corrupted_bits	real_better_than_median	real_better_than_all_corruptions	corrupted_better_count
all	EVA	f2r	11	f2r-l11-r003	1:1	medium	3	1	100	4.247927513443585	4.247927513443585	4.247927513443585	0	0	no	no	0
all	EVA	f2r	11	f2r-l11-r004	N:1	low	12	10	100	42.62366504377103	42.62366504377103	42.53293225602742	0	0.0907327877436046	no	no	30
all	EVA	f2r	11	f2r-l11-r005	1:1	medium	5	3	100	13.163806892279357	12.743782540330756	12.103397889600553	0.42002435194860155	1.0604090026788047	no	no	55
all	EVA	f2r	12	f2r-l12-r001	1:1	low-medium	4	2	100	4.158429362604482	4.158429362604482	6.240393681460168	0	-2.081964318855686	no	no	0
all	EVA	f2r	12	f2r-l12-r002	N:M	low	12	10	100	37.98500602739548	42.7680549531062	42.172375559704044	-4.783048925710723	-4.187369532308566	yes	yes	0
all	EVA	f2r	12	f2r-l12-r003	N:M	low	14	12	100	48.23837488788624	51.1195200706582	50.98918073029225	-2.8811451827719594	-2.7508058424060096	yes	yes	0
all	EVA	f2r	12	f2r-l12-r004	N:M	low	13	11	100	40.503581130782734	47.01598246654979	46.559568408756355	-6.512401335767052	-6.055987277973621	yes	yes	0
all	EVA	f2r	13	f2r-l13-r001	N:M	low	23	21	100	86.42841570927433	89.63964751032081	89.22267011458261	-3.2112318010464804	-2.79425440530828	yes	no	3
all	EVA	f2v	1	f2v-l1-r001	1:1	low-medium	6	4	100	16.99171005377434	16.99171005377434	16.99171005377434	0	0	no	no	0
all	EVA	f2v	1	f2v-l1-r002	N:M	low	24	22	100	87.80834341600287	93.95319729040352	93.56015474443802	-6.144853874400653	-5.751811328435153	yes	yes	0
all	EVA	f2v	1	f2v-l1-r003	N:M	low	8	6	100	22.750809807224723	25.631954989996686	25.306766682587316	-2.881145182771963	-2.555956875362593	yes	no	4
all	EVA	f2v	2	f2v-l2-r001	N:M	low	11	9	100	35.17765110533787	38.651371972940865	37.91887693291378	-3.4737208676029923	-2.74122582757591	yes	no	6
all	EVA	f2v	2	f2v-l2-r002	N:M	low	20	18	100	70.8034879861716	76.89586496999006	76.58328009901501	-6.092376983818454	-5.77979211284341	yes	yes	0
all	EVA	f2v	2	f2v-l2-r003	N:M	low	9	7	100	23.36748116767322	29.87988250344027	29.37304101050339	-6.512401335767052	-6.00555984283017	yes	no	0
all	EVA	f2v	3	f2v-l3-r001	1:1	medium	5	3	100	9.862637357558793	12.88817244966593	12.112852783690505	-3.0255350921071376	-2.250215426131712	yes	no	0
all	EVA	f2v	3	f2v-l3-r002	N:M	low	24	22	100	93.74318511442922	93.8875750237644	93.6409350333669	-0.1443899093351746	0.1022500810623228	yes	no	27
all	EVA	f2v	3	f2v-l3-r003	N:M	low	11	9	100	22.050915533430103	38.627276297323405	38.24562687963277	-16.5763607638933	-16.19471134620267	yes	yes	0
all	EVA	f2v	4	f2v-l4-r001	N:M	low	21	19	100	66.70445571282795	81.57414323724448	81.11305487686128	-14.869687524416534	-14.408599164033333	yes	yes	0
all	EVA	f2v	5	f2v-l5-r001	1:1	medium	5	3	100	10.621136113274641	12.743782540330756	12.565101374564506	-2.1226464270561145	-1.9439652612898648	yes	no	0
all	EVA	f2v	5	f2v-l5-r002	N:M	low	16	14	100	49.43041080917905	60.041972137522436	59.68000433556159	-10.611561328343385	-10.24959352638254	yes	yes	0
all	EVA	f2v	5	f2v-l5-r003	N:M	low	7	5	100	20.507869146450897	21.3840274765531	21.04045564495164	-0.8761583301022036	-0.5325864985007414	yes	no	21
all	EVA	f2v	5	f2v-l5-r004	N:M	low	9	7	100	23.511871077008397	29.87988250344027	29.58890301143685	-6.368011426431874	-6.0770319344284545	yes	yes	0
all	EVA	f2v	6	f2v-l6-r001	N:M	low	19	17	100	72.64793745654647	72.35915763787612	72.3375324164955	0.2887798186703492	0.31040504005096636	no	no	92
all	EVA	f2v	6	f2v-l6-r002	1:1	medium	3	1	100	2.807354922057604	2.807354922057604	2.807354922057605	0	-8.881784197001252e-16	no	no	0
all	EVA	f2v	6	f2v-l6-r003	N:M	low	19	17	100	69.01668130355138	72.35915763787612	72.33762178632672	-3.3424763343247434	-3.3209404827753417	yes	yes	0
all	EVA	f2v	7	f2v-l7-r001	N:M	low	13	11	100	35.85177673835027	47.01598246654979	46.70216973725579	-11.16420572819952	-10.85039299890552	yes	yes	0
all	EVA	f2v	7	f2v-l7-r002	1:1	medium	7	5	100	21.239637567217926	21.239637567217926	21.133905736569194	0	0.10573183064873248	no	no	14
all	EVA	f2v	7	f2v-l7-r003	N:M	low	15	13	100	51.12385249145423	55.53487689505455	55.06043246938666	-4.411024403600322	-3.936579977932432	yes	yes	0
all	EVA	f2v	7	f2v-l7-r004	1:1	medium	7	5	100	16.917919793059983	21.239637567217926	20.69973886313491	-4.321717774157943	-3.7818190700749277	yes	no	0
all	EVA	f2v	8	f2v-l8-r001	N:M	low	22	20	100	66.6141619947353	85.3868365281777	85.4169493572635	-18.772674533442398	-18.802787362528207	yes	yes	0
all	EVA	f2v	8	f2v-l8-r002	1:1	medium	6	4	100	16.99171005377434	16.99171005377434	16.510711827341847	0	0.4809982264324937	no	no	38
medium	ATOMS	f2r	2	f2r-l2-r001	1:1	medium	16	14	100	56	56	56	0	0	no	no	0
medium	ATOMS	f2r	11	f2r-l11-r003	1:1	medium	8	6	100	15.509775004326936	24.169925001442312	23.55527850233653	-8.660149997115376	-8.045503498009595	yes	no	0
medium	ATOMS	f2r	11	f2r-l11-r005	1:1	medium	4	2	100	8	8	8	0	0	no	no	0
medium	ATOMS	f2v	3	f2v-l3-r001	1:1	medium	10	8	100	24.15542543174719	30.984603311482118	30.84269271426707	-6.829177879734928	-6.68726728251988	yes	yes	0
medium	ATOMS	f2v	5	f2v-l5-r001	1:1	medium	11	9	100	24.459431618637296	36.339850002884624	35.99541029183228	-11.880418384247328	-11.535978673194982	yes	yes	0
