entity_type	entity_id	image_id	image_name	token	signature	atom_count	bounds_x	bounds_y	bounds_w	bounds_h	svg_path
atom	1846	3	page-003.jpg	e:1	e:1	1	1653	1065	43	51	atoms\e_1\page-003.jpg\1846.svg
atom	1848	3	page-003.jpg	g:1	g:1	1	1661	1065	67	33	atoms\g_1\page-003.jpg\1848.svg
atom	1847	3	page-003.jpg	e:1	e:1	1	1687	1064	47	53	atoms\e_1\page-003.jpg\1847.svg
atom	3668	3	page-003.jpg	n:1	n:1	1	955	1029	53	59	atoms\n_1\page-003.jpg\3668.svg
atom	1772	3	page-003.jpg	c:1	c:1	1	931	1069	52	49	atoms\c_1\page-003.jpg\1772.svg
atom	1778	3	page-003.jpg	g:1	g:1	1	941	1066	90	35	atoms\g_1\page-003.jpg\1778.svg
atom	1779	3	page-003.jpg	e:1	e:1	1	982	1066	48	50	atoms\e_1\page-003.jpg\1779.svg
atom	1780	3	page-003.jpg	h:1	h:1	1	993	1065	46	72	atoms\h_1\page-003.jpg\1780.svg
atom	3669	3	page-003.jpg	n:1	n:1	1	1019	1021	90	64	atoms\n_1\page-003.jpg\3669.svg
atom	1782	3	page-003.jpg	e:1	e:1	1	1043	1070	46	47	atoms\e_1\page-003.jpg\1782.svg
atom	1785	3	page-003.jpg	g:1	g:1	1	1053	1065	76	37	atoms\g_1\page-003.jpg\1785.svg
atom	1783	3	page-003.jpg	e:1	e:1	1	1081	1065	49	51	atoms\e_1\page-003.jpg\1783.svg
atom	1784	3	page-003.jpg	c:1	c:1	1	1108	1064	51	53	atoms\c_1\page-003.jpg\1784.svg
atom	1787	3	page-003.jpg	f:1	f:1	1	1143	1069	45	53	atoms\f_1\page-003.jpg\1787.svg
atom	1788	3	page-003.jpg	j:1	j:1	1	1105	1058	91	88	atoms\j_1\page-003.jpg\1788.svg
atom	3671	3	page-003.jpg	n:1	n:1	1	2120	1031	61	65	atoms\n_1\page-003.jpg\3671.svg
atom	1877	3	page-003.jpg	e:1	e:1	1	2107	1076	51	49	atoms\e_1\page-003.jpg\1877.svg
atom	1879	3	page-003.jpg	g:1	g:1	1	2121	1071	76	37	atoms\g_1\page-003.jpg\1879.svg
atom	1878	3	page-003.jpg	e:1	e:1	1	2146	1072	52	53	atoms\e_1\page-003.jpg\1878.svg
