image_name	row_index	unit_id	molecule_id	unit_index	atom_count	first_token	last_token	prefix2	suffix2	prev_molecule_id	prev_last_token	prev_suffix2	next_molecule_id	next_first_token	next_prefix2	signature
page-003.jpg	7	p003-u056	img3-m51	56	9	e:1	d:1	e:1 c:1	i:1 d:1	img3-m52	h:1	e:1 h:1	img3-m57	e:1	e:1 g:1	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1
page-003.jpg	7	p003-u057	img3-m57	57	7	e:1	d:1	e:1 g:1	i:1 d:1	img3-m51	d:1	i:1 d:1	img3-m50	a:1	a:1 b:1	e:1 g:1 e:1 c:1 f:1 i:1 d:1
page-003.jpg	7	p003-u058	img3-m50	58	8	a:1	d:1	a:1 b:1	i:1 d:1	img3-m57	d:1	i:1 d:1				a:1 b:1 c:1 a:1 c:1 e:1 i:1 d:1
page-003.jpg	8	p003-u059	img3-m63	59	9	e:1	d:1	e:1 c:1	i:1 d:1				img3-m65	n:1	n:1 e:1	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	8	p003-u060	img3-m65	60	8	n:1	d:1	n:1 e:1	i:1 d:1	img3-m63	d:1	i:1 d:1	img3-m59	e:1	e:1 a:1	n:1 e:1 g:1 e:1 c:1 e:1 i:1 d:1
page-003.jpg	8	p003-u061	img3-m59	61	12	e:1	j:1	e:1 a:1	f:1 j:1	img3-m65	d:1	i:1 d:1	img3-m62	n:1	n:1 e:1	e:1 a:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 f:1 j:1
page-003.jpg	8	p003-u062	img3-m62	62	10	n:1	h:1	n:1 e:1	e:1 h:1	img3-m59	j:1	f:1 j:1	img3-m61	e:1	e:1 c:1	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1
page-003.jpg	8	p003-u063	img3-m61	63	9	e:1	d:1	e:1 c:1	i:1 d:1	img3-m62	h:1	e:1 h:1	img3-m64	c:1	c:1 f:1	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1
page-003.jpg	8	p003-u064	img3-m64	64	4	c:1	d:1	c:1 f:1	i:1 d:1	img3-m61	d:1	i:1 d:1	img3-m60	a:1	a:1 e:1	c:1 f:1 i:1 d:1
page-003.jpg	8	p003-u065	img3-m60	65	12	a:1	h:1	a:1 e:1	e:1 h:1	img3-m64	d:1	i:1 d:1				a:1 e:1 b:1 c:1 a:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1
page-003.jpg	9	p003-u066	img3-m72	66	11	e:1	d:1	e:1 h:1	i:1 d:1				img3-m66	e:1	e:1 a:1	e:1 h:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 i:1 d:1
page-003.jpg	9	p003-u067	img3-m66	67	19	e:1	d:1	e:1 a:1	i:1 d:1	img3-m72	d:1	i:1 d:1	img3-m69	c:1	c:1 f:1	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	9	p003-u068	img3-m69	68	6	c:1	d:1	c:1 f:1	i:1 d:1	img3-m66	d:1	i:1 d:1	img3-m67	e:1	e:1 a:1	c:1 f:1 j:1 e:1 i:1 d:1
page-003.jpg	9	p003-u069	img3-m67	69	13	e:1	h:1	e:1 a:1	e:1 h:1	img3-m69	d:1	i:1 d:1	img3-m70	e:1	e:1 h:1	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 e:1 h:1
