macro_signature	count	share	examples
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 c:1 f:1 j:1	1	0.0021	p004-u089
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 c:1	1	0.0021	p003-u147
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 j:1 e:1 e:1 MEDIAL_OP d:1	1	0.0021	p003-u072
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 j:1 e:1 MEDIAL_OP d:1	1	0.0021	p003-u086
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 c:1 e:1 f:1 f:1 j:1	1	0.0021	p004-u034
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 c:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u048
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0021	p003-u069
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p003-u076
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP f:1 MEDIAL_OP d:1 e:1 c:1 h:2 e:1 f:1 e:1 MEDIAL_OP e:1 c:1	1	0.0021	p094-u040
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 n:1 e:1 c:1 h:2 e:1 MEDIAL_OP e:1 e:1 e:1 h:1 e:1 h:1 e:1 e:1 e:1 h:1	1	0.0021	p003-u152
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 n:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0021	p003-u122
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 n:1 e:1 MEDIAL_OP e:1 e:1 c:1 a:1 MEDIAL_OP c:1 a:1	1	0.0021	p094-u001
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0021	p003-u025
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 e:1 MEDIAL_OP d:1	1	0.0021	p003-u026
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0021	p003-u171
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u173
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0021	p005-u093
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0021	p005-u077
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 e:1 h:1 e:1 h:1	1	0.0021	p005-u016
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 c:2 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u018
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 f:1 j:1 e:1 MEDIAL_OP d:1	1	0.0021	p003-u138
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 MEDIAL_OP d:1 e:1 e:1 MEDIAL_OP d:1	1	0.0021	p003-u007
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 f:1 c:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u032
e:1 a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0021	p094-u083
e:1 a:1 MEDIAL_OP c:1 a:1 d:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p094-u003
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 c:1 a:1 MEDIAL_OP c:1 a:1 c:1 e:1 h:1	1	0.0021	p004-u031
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u170
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 h:1	1	0.0021	p005-u006
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 c:1 e:1 h:1	1	0.0021	p003-u045
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0021	p003-u061
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 e:1 e:1 f:1 f:1 j:1 e:1 h:1	1	0.0021	p003-u130
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 e:1 e:1 MEDIAL_OP d:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u067
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u041
